year,day,station,high,low,mean
2022,1,1,11.1,0.4,7.8
2022,2,1,15.8,-3.1,4.7
2022,3,1,21.2,-3.3,6.2
2022,4,1,20.5,-1.6,7.6
2022,5,1,19,-1.8,7.4
2022,6,1,21.4,-0.9,8.8
2022,7,1,25,0.7,10.9
2022,8,1,21.2,5.4,12
2022,9,1,23.2,1.7,10.5
2022,10,1,20.4,3.3,13.9
2022,11,1,19.1,5.6,12.4
2022,12,1,20.9,0.7,8.8
2022,13,1,23.9,-0.6,10.1
2022,14,1,20.1,2.1,10.4
2022,15,1,20.1,-1,10.9
2022,16,1,24.3,1.1,12.1
2022,17,1,22.6,2.5,11.6
2022,18,1,20.3,6.1,12.1
2022,19,1,18.4,6.6,11.7
2022,20,1,20.1,1.7,10.1
2022,21,1,22.2,1.2,10.4
2022,22,1,17.2,1.9,9.8
2022,23,1,18.3,3,10.3
2022,24,1,19.6,1.3,9.3
2022,25,1,20.6,-0.1,9.8
2022,26,1,19.1,-1.4,8.7
2022,27,1,18.2,-2.2,7.7
2022,28,1,18.7,-1.9,10.5
2022,29,1,22.7,6.9,14.3
2022,30,1,20,4.5,12.1
2022,31,1,20.4,0.2,9.8
2022,32,1,18.5,1.9,10.2
2022,33,1,15.8,-2.4,8.8
2022,34,1,12.5,-5.4,3.4
2022,35,1,14.3,-4.7,6.2
2022,36,1,19.9,-2.6,8.9
2022,37,1,21,-3.2,8.6
2022,38,1,19.3,2.7,14.3
2022,39,1,21.8,-1.4,10.3
2022,40,1,25.2,-1,11.7
2022,41,1,25.2,-0.4,12.8
2022,42,1,25.4,2.4,13.5
2022,43,1,26.5,0.7,12.7
2022,44,1,28.4,0.5,13.4
2022,45,1,28.2,-0.4,13.4
2022,46,1,25.3,5,15.9
2022,47,1,16.6,3.9,9.7
2022,48,1,16.6,3.3,9.6
2022,49,1,20.8,-2.4,8.9
2022,50,1,26.6,-1.6,11.9
2022,51,1,26.5,0.7,13.4
2022,52,1,19.5,5.2,12.3
2022,53,1,20,3.3,12.8
2022,54,1,16.8,4.3,9.5
2022,55,1,13.6,-0.2,6.5
2022,56,1,17.9,-2,7.8
2022,57,1,18.6,-1.1,8.7
2022,58,1,23.4,-1.5,11.2
2022,59,1,25.7,4.7,14.1
2022,60,1,27.6,1.7,14.9
2022,61,1,29.9,3.2,16.4
2022,62,1,30.6,11,21
2022,63,1,22.3,8.2,17.3
2022,64,1,22.1,6.9,14
2022,65,1,15.8,3.5,10.6
2022,66,1,17.5,-1.3,9.3
2022,67,1,18,-1.2,9.4
2022,68,1,19.6,-1.8,9.4
2022,69,1,22.7,3.8,13.6
2022,70,1,19,4.4,11.6
2022,71,1,25.2,-1.6,12.3
2022,72,1,25.1,1.2,14.2
2022,73,1,25.8,3.3,15
2022,74,1,30,2.1,17
2022,75,1,28.8,6.9,18.2
2022,76,1,23.6,8.9,16.4
2022,77,1,26.3,6.4,16.1
2022,78,1,29.4,3.3,16.6
2022,79,1,21.3,10.2,15.5
2022,80,1,19.4,7.1,13.2
2022,81,1,23.5,2.6,13.6
2022,82,1,23.7,7.5,16.8
2022,83,1,28.8,2.9,16.6
